Name,AUID,Coords,Const,Type,Period,Mag
"OGLE-BLG-ECL-347370","--","18 10 44.92 -24 29 45.3","Sgr","E","2.031808","19.238 (1.137) Ic"
"OGLE-BLG-ECL-347394","--","18 10 45.08 -33 06 57.0","Sgr","E","1.699322","16.782 (1.456) Ic"
"OGLE-BLG-ECL-347418","--","18 10 45.28 -25 44 41.5","Sgr","E","0.685800","19.512 (1.437) Ic"
"OGLE-BLG-ECL-347438","--","18 10 45.52 -27 35 53.2","Sgr","E","0.682148","18.790 (2.055) Ic"
"OGLE-BLG-ECL-347459","--","18 10 45.65 -27 09 53.2","Sgr","E","2.188538","18.900 (1.403) Ic"
"OGLE-BLG-ECL-347491","--","18 10 45.94 -28 48 03.9","Sgr","E","0.561488","19.314 (1.043) Ic"
"OGLE-BLG-ECL-347539","--","18 10 46.27 -30 29 35.0","Sgr","E","2.739263","16.124 (1.422) Ic"
"OGLE-BLG-ECL-347543","--","18 10 46.29 -28 24 35.8","Sgr","E","0.387794","18.613 (1.317) Ic"
"OGLE-BLG-ECL-347584","--","18 10 46.64 -28 00 45.6","Sgr","E","0.844153","19.481 (1.154) Ic"
"OGLE-BLG-ECL-347598","--","18 10 46.70 -28 50 57.9","Sgr","E","2.625443","16.797 (1.302) Ic"
"OGLE-BLG-ECL-347620","--","18 10 46.86 -28 00 36.2","Sgr","E","0.355317","19.136 (1.020) Ic"
"OGLE-BLG-ECL-347632","--","18 10 46.98 -32 30 18.6","Sgr","E","0.375735","19.555 (1.216) Ic"
"OGLE-BLG-ECL-347689","--","18 10 47.43 -33 44 20.8","Sgr","E","2.393510","15.931 (1.305) Ic"
"OGLE-BLG-ECL-347690","--","18 10 47.43 -32 36 20.5","Sgr","E","1.335835","17.850 (1.045) Ic"
"OGLE-BLG-ECL-347732","--","18 10 47.71 -31 47 52.1","Sgr","E","2.749025","16.954 (1.276) Ic"
"OGLE-BLG-ECL-347763","--","18 10 47.98 -32 53 57.0","Sgr","E","1.322997","18.305 (1.586) Ic"
"OGLE-BLG-ECL-347783","--","18 10 48.17 -28 14 51.0","Sgr","E","0.456525","18.971 (1.198) Ic"
"OGLE-BLG-ECL-347801","--","18 10 48.33 -27 50 29.9","Sgr","E","0.459482","18.703 (1.220) Ic"
"OGLE-BLG-ECL-347898","--","18 10 48.91 -30 52 16.6","Sgr","E","0.267284","18.960 (1.015) Ic"
"OGLE-BLG-ECL-347921","--","18 10 49.19 -24 39 56.9","Sgr","E","1.148028","19.247 (1.679) Ic"
"OGLE-BLG-ECL-347928","--","18 10 49.22 -25 21 40.1","Sgr","E","0.420511","19.642 (1.133) Ic"
"OGLE-BLG-ECL-347937","--","18 10 49.27 -30 51 56.2","Sgr","E","0.621727","19.205 (1.077) Ic"
"OGLE-BLG-ECL-348020","--","18 10 49.84 -27 25 08.0","Sgr","E","0.504618","19.333 (1.204) Ic"
"OGLE-BLG-ECL-348053","--","18 10 50.04 -27 15 08.2","Sgr","E","2.568423","17.704 (1.699) Ic"
"OGLE-BLG-ECL-348067","--","18 10 50.12 -23 33 25.0","Sgr","E","4.217458","19.314 (1.692) Ic"
"OGLE-BLG-ECL-348113","--","18 10 50.51 -32 09 31.4","Sgr","E","0.610160","19.042 (1.074) Ic"
"OGLE-BLG-ECL-348139","--","18 10 50.64 -24 21 13.6","Sgr","E","1.915018","19.235 (1.052) Ic"
"OGLE-BLG-ECL-348143","--","18 10 50.67 -27 34 45.2","Sgr","E","1.404187","16.868 (1.102) Ic"
"OGLE-BLG-ECL-348146","--","18 10 50.70 -27 44 22.0","Sgr","E","0.404243","19.571 (1.178) Ic"
"OGLE-BLG-ECL-348147","--","18 10 50.71 -24 57 41.5","Sgr","E","3.892316","17.771 (1.195) Ic"
"OGLE-BLG-ECL-348171","--","18 10 50.83 -26 33 50.9","Sgr","E","0.982754","18.046 (1.274) Ic"
"OGLE-BLG-ECL-348249","--","18 10 51.37 -28 47 45.5","Sgr","E","0.468775","18.404 (1.320) Ic"
"OGLE-BLG-ECL-348267","--","18 10 51.53 -33 11 38.9","Sgr","E","0.440823","18.588 (1.039) Ic"
"OGLE-BLG-ECL-348334","--","18 10 51.96 -33 19 12.5","Sgr","E","2.013138","17.111 (1.616) Ic"
"OGLE-BLG-ECL-348343","--","18 10 52.02 -32 45 49.6","Sgr","E","0.417714","18.813 (1.128) Ic"
"OGLE-BLG-ECL-348399","--","18 10 52.50 -27 51 25.2","Sgr","E","2.669481","16.808 (1.305) Ic"
"OGLE-BLG-ECL-348477","--","18 10 53.19 -27 09 18.6","Sgr","E","9.440240","18.028 (1.277) Ic"
"OGLE-BLG-ECL-348483","--","18 10 53.25 -29 50 56.9","Sgr","E","1.004941","18.110 (1.331) Ic"
"OGLE-BLG-ECL-348498","--","18 10 53.35 -25 42 35.7","Sgr","E","0.259948","19.437 (1.232) Ic"
"OGLE-BLG-ECL-348520","--","18 10 53.52 -27 16 44.4","Sgr","E","1.054116","17.148 (1.308) Ic"
"OGLE-BLG-ECL-348554","--","18 10 53.85 -30 32 18.4","Sgr","E","0.300902","19.190 (1.038) Ic"
"OGLE-BLG-ECL-348576","--","18 10 53.99 -30 37 47.8","Sgr","E","4.540062","15.512 (1.063) Ic"
"OGLE-BLG-ECL-348594","--","18 10 54.16 -29 33 17.9","Sgr","E","2.538475","16.911 (1.382) Ic"
"OGLE-BLG-ECL-348622","--","18 10 54.35 -32 20 03.7","Sgr","E","0.667137","18.734 (1.513) Ic"
"OGLE-BLG-ECL-348636","--","18 10 54.49 -25 07 56.8","Sgr","E","0.292699","19.412 (1.124) Ic"
"OGLE-BLG-ECL-348642","--","18 10 54.52 -25 05 36.0","Sgr","E","2.705890","17.325 (1.164) Ic"
"OGLE-BLG-ECL-348646","--","18 10 54.55 -25 49 11.5","Sgr","EW","0.272262","19.309 (1.094) Ic"
"OGLE-BLG-ECL-348686","--","18 10 54.82 -26 54 51.5","Sgr","E","1.686893","18.471 (1.699) Ic"
"OGLE-BLG-ECL-348689","--","18 10 54.85 -22 26 48.5","Sgr","E","2.055521","18.306 (1.178) Ic"
"OGLE-BLG-ECL-348693","--","18 10 54.88 -33 40 12.3","Sgr","E","2.788664","16.227 (1.521) Ic"
"OGLE-BLG-ECL-348769","--","18 10 55.44 -30 46 54.8","Sgr","E","3.200089","16.712 (1.228) Ic"
"OGLE-BLG-ECL-348772","--","18 10 55.45 -28 57 12.0","Sgr","E","2.093335","16.500 (1.224) Ic"
"OGLE-BLG-ECL-348784","--","18 10 55.49 -27 17 19.1","Sgr","E","0.729096","19.397 (1.166) Ic"
"OGLE-BLG-ECL-348822","--","18 10 55.83 -26 16 08.6","Sgr","E","0.308347","18.775 (1.229) Ic"
"OGLE-BLG-ECL-348844","--","18 10 55.98 -26 51 41.2","Sgr","E","0.719295","19.300 (1.119) Ic"
"OGLE-BLG-ECL-348870","--","18 10 56.20 -33 29 28.5","Sgr","E","1.251975","15.456 (1.006) Ic"
"OGLE-BLG-ECL-348876","--","18 10 56.21 -24 21 48.5","Sgr","E","1.095992","18.680 (1.001) Ic"
"OGLE-BLG-ECL-348881","--","18 10 56.24 -27 12 23.4","Sgr","E","3.270784","16.283 (1.445) Ic"
"OGLE-BLG-ECL-348940","--","18 10 56.69 -28 30 56.4","Sgr","E","0.606313","19.293 (1.325) Ic"
"OGLE-BLG-ECL-348942","--","18 10 56.70 -32 13 07.0","Sgr","E","0.994945","18.154 (1.294) Ic"
"OGLE-BLG-ECL-348948","--","18 10 56.72 -29 22 56.0","Sgr","E","3.007227","16.786 (1.437) Ic"
"OGLE-BLG-ECL-348986","--","18 10 56.98 -28 29 57.9","Sgr","E","3.869087","16.571 (1.183) Ic"
"OGLE-BLG-ECL-349012","--","18 10 57.19 -28 40 41.4","Sgr","E","0.420834","19.256 (1.118) Ic"
"OGLE-BLG-ECL-349018","--","18 10 57.22 -28 28 24.5","Sgr","E","0.389155","19.023 (1.357) Ic"
"OGLE-BLG-ECL-349060","--","18 10 57.47 -25 49 42.3","Sgr","EA","0.582723","18.952 (1.191) Ic"
"OGLE-BLG-ECL-349086","--","18 10 57.72 -29 00 13.9","Sgr","E","0.373255","19.395 (1.041) Ic"
"OGLE-BLG-ECL-349117","--","18 10 58.01 -28 47 20.3","Sgr","E","1.275182","16.673 (1.542) Ic"
"OGLE-BLG-ECL-349126","--","18 10 58.08 -22 20 44.6","Sgr","E","2.814466","15.240 (1.558) Ic"
"OGLE-BLG-ECL-349138","--","18 10 58.18 -25 23 55.0","Sgr","E","0.778166","19.888 (1.230) Ic"
"OGLE-BLG-ECL-349189","--","18 10 58.54 -30 38 17.0","Sgr","E","0.358790","19.269 (1.330) Ic"
"OGLE-BLG-ECL-349243","--","18 10 59.01 -27 46 40.7","Sgr","E","0.365951","18.583 (1.318) Ic"
"OGLE-BLG-ECL-349256","--","18 10 59.07 -30 11 18.7","Sgr","E","1.438052","17.806 (1.271) Ic"
"OGLE-BLG-ECL-349259","--","18 10 59.07 -23 43 56.9","Sgr","E","0.812826","19.166 (1.069) Ic"
"OGLE-BLG-ECL-349260","--","18 10 59.08 -32 39 43.3","Sgr","E","0.327146","19.515 (1.419) Ic"
"OGLE-BLG-ECL-349273","--","18 10 59.24 -31 32 57.2","Sgr","E","0.653862","17.856 (1.287) Ic"
"OGLE-BLG-ECL-349309","--","18 10 59.54 -26 56 15.9","Sgr","E","6.091002","18.803 (1.285) Ic"
"OGLE-BLG-ECL-349332","--","18 10 59.73 -32 48 48.5","Sgr","E","0.482628","19.477 (1.311) Ic"
"OGLE-BLG-ECL-349377","--","18 11 00.07 -33 30 04.5","Sgr","E","0.224877","19.741 (1.176) Ic"
"OGLE-BLG-ECL-349415","--","18 11 00.27 -27 51 59.2","Sgr","E","2.316321","16.681 (1.294) Ic"
"OGLE-BLG-ECL-349420","--","18 11 00.30 -26 59 34.3","Sgr","E","0.388628","18.634 (1.049) Ic"
"OGLE-BLG-ECL-349445","--","18 11 00.48 -31 32 05.6","Sgr","E","0.826131","18.142 (1.201) Ic"
"OGLE-BLG-ECL-349485","--","18 11 00.76 -29 50 27.9","Sgr","E","0.301549","19.061 (1.202) Ic"
"OGLE-BLG-ECL-349516","--","18 11 00.94 -26 32 27.0","Sgr","E","0.711406","18.494 (1.027) Ic"
"OGLE-BLG-ECL-349524","--","18 11 00.99 -28 41 08.9","Sgr","E","0.315154","19.029 (1.401) Ic"
"OGLE-BLG-ECL-349531","--","18 11 01.04 -29 36 24.2","Sgr","E","0.334779","19.209 (1.100) Ic"
"OGLE-BLG-ECL-349545","--","18 11 01.10 -27 34 53.2","Sgr","E","0.539950","19.277 (1.349) Ic"
"OGLE-BLG-ECL-349579","--","18 11 01.34 -28 15 23.7","Sgr","E","0.348297","19.093 (1.148) Ic"
"OGLE-BLG-ECL-349644","--","18 11 01.73 -30 31 21.2","Sgr","E","0.951442","19.323 (1.428) Ic"
"OGLE-BLG-ECL-349660","--","18 11 01.86 -27 49 06.5","Sgr","E","0.365574","18.922 (1.286) Ic"
"OGLE-BLG-ECL-349669","--","18 11 01.94 -23 52 21.6","Sgr","E","0.302498","18.844 (1.404) Ic"
"OGLE-BLG-ECL-349676","--","18 11 01.98 -29 26 12.5","Sgr","E","1.404130","17.076 (1.128) Ic"
"OGLE-BLG-ECL-349709","--","18 11 02.22 -25 34 52.1","Sgr","E","0.495311","19.226 (2.192) Ic"
"OGLE-BLG-ECL-349741","--","18 11 02.44 -26 48 26.8","Sgr","E","0.356594","19.610 (1.171) Ic"
"OGLE-BLG-ECL-349768","--","18 11 02.60 -27 47 06.6","Sgr","E","6.171899","16.475 (1.317) Ic"
"OGLE-BLG-ECL-349775","--","18 11 02.63 -24 08 27.6","Sgr","E","6.000343","17.259 (1.278) Ic"
"OGLE-BLG-ECL-349794","--","18 11 02.74 -31 27 18.6","Sgr","E","2.548297","17.092 (1.053) Ic"
"OGLE-BLG-ECL-349859","--","18 11 03.15 -26 37 32.2","Sgr","E","0.982600","17.111 (1.077) Ic"
"OGLE-BLG-ECL-349863","--","18 11 03.19 -28 23 12.2","Sgr","E","0.617190","19.600 (1.173) Ic"
"OGLE-BLG-ECL-349873","--","18 11 03.22 -26 39 08.1","Sgr","E","0.326118","18.751 (1.060) Ic"
"OGLE-BLG-ECL-349890","--","18 11 03.33 -25 39 57.5","Sgr","E","2.062818","18.293 (1.289) Ic"
"OGLE-BLG-ECL-349925","--","18 11 03.64 -30 40 55.9","Sgr","E","0.266382","19.155 (1.056) Ic"
"OGLE-BLG-ECL-349931","--","18 11 03.67 -34 44 50.5","Sgr","E","2.578304","16.711 (1.164) Ic"
"OGLE-BLG-ECL-349960","--","18 11 03.89 -29 31 23.6","Sgr","E","2.104118","16.343 (1.795) Ic"
"OGLE-BLG-ECL-349979","--","18 11 03.99 -25 52 28.2","Sgr","EW","0.347726","19.192 (1.023) Ic"
"OGLE-BLG-ECL-350063","--","18 11 04.56 -27 34 32.5","Sgr","E","0.770466","18.547 (1.032) Ic"
"OGLE-BLG-ECL-350069","--","18 11 04.59 -29 17 59.7","Sgr","E","0.313709","19.406 (1.298) Ic"
"OGLE-BLG-ECL-350104","--","18 11 04.87 -30 42 07.6","Sgr","E","0.303172","19.273 (1.193) Ic"
"OGLE-BLG-ECL-350111","--","18 11 04.93 -27 15 19.6","Sgr","E","1.854103","16.464 (1.025) Ic"
"OGLE-BLG-ECL-350196","--","18 11 05.56 -26 10 41.2","Sgr","EA","1.326466","18.013 (1.935) Ic"
"OGLE-BLG-ECL-350237","--","18 11 05.94 -27 15 50.8","Sgr","E","1.824258","19.822 (1.144) Ic"
"OGLE-BLG-ECL-350242","--","18 11 05.95 -24 09 12.5","Sgr","E","1.882278","17.442 (1.698) Ic"
"OGLE-BLG-ECL-350265","--","18 11 06.07 -30 31 22.2","Sgr","E","0.281801","19.574 (1.148) Ic"
"OGLE-BLG-ECL-350272","--","18 11 06.14 -31 29 18.1","Sgr","E","2.336953","17.186 (1.524) Ic"
"OGLE-BLG-ECL-350320","--","18 11 06.52 -31 58 25.9","Sgr","E","0.316519","19.411 (1.341) Ic"
"OGLE-BLG-ECL-350321","--","18 11 06.52 -27 36 39.9","Sgr","E","1.367486","18.562 (1.197) Ic"
"OGLE-BLG-ECL-350357","--","18 11 06.79 -25 06 19.9","Sgr","E","6.810060","16.573 (1.085) Ic"
"OGLE-BLG-ECL-350425","--","18 11 07.36 -28 24 07.3","Sgr","E","0.442782","18.831 (1.149) Ic"
"OGLE-BLG-ECL-350452","--","18 11 07.60 -29 06 56.9","Sgr","E","1.126271","16.678 (1.970) Ic"
"OGLE-BLG-ECL-350453","--","18 11 07.60 -25 40 29.6","Sgr","E","1.727631","18.210 (1.332) Ic"
"OGLE-BLG-ECL-350459","--","18 11 07.64 -30 31 35.1","Sgr","E","0.695736","17.761 (1.092) Ic"
"OGLE-BLG-ECL-350465","--","18 11 07.69 -27 12 26.6","Sgr","E","2.280463","17.522 (1.182) Ic"
"OGLE-BLG-ECL-350482","--","18 11 07.81 -28 57 48.8","Sgr","E","3.715051","16.693 (1.134) Ic"
"OGLE-BLG-ECL-350514","--","18 11 08.06 -26 47 47.2","Sgr","E","0.344674","19.554 (1.334) Ic"
"OGLE-BLG-ECL-350524","--","18 11 08.10 -32 39 22.5","Sgr","E","2.237194","16.071 (1.824) Ic"
"OGLE-BLG-ECL-350544","--","18 11 08.22 -26 23 05.8","Sgr","E","4.182036","15.101 (1.228) Ic"
"OGLE-BLG-ECL-350556","--","18 11 08.33 -28 12 26.4","Sgr","E","0.928371","19.284 (1.403) Ic"
"OGLE-BLG-ECL-350568","--","18 11 08.41 -29 29 36.4","Sgr","E","0.264496","19.518 (1.305) Ic"
"OGLE-BLG-ECL-350587","--","18 11 08.56 -25 03 49.7","Sgr","E","0.860750","18.103 (1.014) Ic"
"OGLE-BLG-ECL-350589","--","18 11 08.57 -29 40 51.4","Sgr","E","0.749363","17.285 (1.052) Ic"
"OGLE-BLG-ECL-350605","--","18 11 08.67 -26 14 29.7","Sgr","E","1.903277","17.463 (1.656) Ic"
"OGLE-BLG-ECL-350658","--","18 11 09.02 -26 53 09.1","Sgr","E","5.011473","17.361 (1.473) Ic"
"OGLE-BLG-ECL-350680","--","18 11 09.14 -26 46 26.3","Sgr","E","1.731552","17.428 (1.405) Ic"
"OGLE-BLG-ECL-350686","--","18 11 09.18 -28 16 23.1","Sgr","E","0.644953","18.969 (1.188) Ic"
"OGLE-BLG-ECL-350692","--","18 11 09.24 -29 04 25.1","Sgr","E","2.519424","16.777 (1.434) Ic"
"OGLE-BLG-ECL-350703","--","18 11 09.30 -28 06 58.1","Sgr","E","0.340535","19.407 (1.079) Ic"
"OGLE-BLG-ECL-350741","--","18 11 09.54 -29 44 20.6","Sgr","E","0.808290","18.347 (1.229) Ic"
"OGLE-BLG-ECL-350745","--","18 11 09.55 -26 44 17.1","Sgr","E","0.360973","19.004 (1.290) Ic"
"OGLE-BLG-ECL-350785","--","18 11 09.75 -25 48 59.7","Sgr","EA","1.164809","18.570 (1.641) Ic"
"OGLE-BLG-ECL-350801","--","18 11 09.93 -33 28 26.9","Sgr","E","0.296208","18.729 (1.230) Ic"
"OGLE-BLG-ECL-350836","--","18 11 10.18 -32 30 16.3","Sgr","E","6.816772","15.912 (1.366) Ic"
"OGLE-BLG-ECL-350917","--","18 11 10.69 -22 40 44.5","Sgr","E","0.283113","18.726 (1.062) Ic"
"OGLE-BLG-ECL-350952","--","18 11 10.96 -27 42 44.1","Sgr","E","3.876551","14.596 (1.597) Ic"
"OGLE-BLG-ECL-350979","--","18 11 11.07 -33 21 21.0","Sgr","E","0.286397","19.759 (1.317) Ic"
"OGLE-BLG-ECL-350981","--","18 11 11.09 -26 56 03.1","Sgr","E","0.919613","17.249 (1.053) Ic"
"OGLE-BLG-ECL-350997","--","18 11 11.21 -28 14 22.0","Sgr","E","2.979575","16.647 (1.291) Ic"
"OGLE-BLG-ECL-351012","--","18 11 11.34 -33 14 54.4","Sgr","E","0.339003","19.046 (1.185) Ic"
"OGLE-BLG-ECL-351027","--","18 11 11.41 -24 38 58.8","Sgr","E","2.943082","18.839 (1.673) Ic"
"OGLE-BLG-ECL-351031","--","18 11 11.44 -28 55 45.5","Sgr","E","2.699391","16.403 (1.267) Ic"
"OGLE-BLG-ECL-351084","--","18 11 11.76 -25 14 23.1","Sgr","E","3.051934","16.971 (1.503) Ic"
"OGLE-BLG-ECL-351147","--","18 11 12.12 -28 34 06.2","Sgr","E","0.389854","19.217 (1.051) Ic"
"OGLE-BLG-ECL-351155","--","18 11 12.17 -29 24 47.7","Sgr","E","0.357976","19.330 (1.328) Ic"
"OGLE-BLG-ECL-351159","--","18 11 12.17 -23 40 29.8","Sgr","E","3.754024","18.605 (1.042) Ic"
"OGLE-BLG-ECL-351165","--","18 11 12.23 -25 47 45.5","Sgr","E","1.077323","18.172 (1.092) Ic"
"OGLE-BLG-ECL-351205","--","18 11 12.47 -28 24 21.0","Sgr","E","0.288104","19.118 (1.166) Ic"
"OGLE-BLG-ECL-351230","--","18 11 12.59 -27 29 20.4","Sgr","E","0.292211","19.192 (1.150) Ic"
"OGLE-BLG-ECL-351251","--","18 11 12.78 -30 16 49.3","Sgr","E","0.660267","18.018 (1.370) Ic"
"OGLE-BLG-ECL-351265","--","18 11 12.87 -28 05 30.4","Sgr","E","0.328744","19.170 (1.116) Ic"
"OGLE-BLG-ECL-351296","--","18 11 13.07 -30 40 11.5","Sgr","E","2.075433","17.487 (1.703) Ic"
"OGLE-BLG-ECL-351299","--","18 11 13.08 -28 06 14.5","Sgr","E","0.307776","19.361 (1.131) Ic"
"OGLE-BLG-ECL-351308","--","18 11 13.13 -28 51 45.9","Sgr","E","0.307447","18.982 (1.014) Ic"
"OGLE-BLG-ECL-351363","--","18 11 13.53 -31 10 07.3","Sgr","E","0.382989","19.271 (1.275) Ic"
"OGLE-BLG-ECL-351400","--","18 11 13.78 -27 21 14.7","Sgr","E","2.167850","19.297 (1.492) Ic"
"OGLE-BLG-ECL-351439","--","18 11 14.06 -28 21 30.4","Sgr","E","0.520390","19.290 (1.093) Ic"
"OGLE-BLG-ECL-351497","--","18 11 14.52 -22 32 07.5","Sgr","E","3.604571","18.578 (1.180) Ic"
"OGLE-BLG-ECL-351550","--","18 11 14.90 -25 39 33.9","Sgr","E","0.381981","18.985 (1.226) Ic"
"OGLE-BLG-ECL-351622","--","18 11 15.38 -31 56 37.7","Sgr","E","2.011062","18.548 (1.488) Ic"
"OGLE-BLG-ECL-351631","--","18 11 15.44 -33 02 11.9","Sgr","E","0.299575","19.592 (1.407) Ic"
"OGLE-BLG-ECL-351633","--","18 11 15.44 -28 24 08.5","Sgr","E","2.836221","16.876 (1.012) Ic"
"OGLE-BLG-ECL-351635","--","18 11 15.44 -26 40 34.2","Sgr","E","11.059479","19.330 (1.141) Ic"
"OGLE-BLG-ECL-351636","--","18 11 15.44 -25 34 50.3","Sgr","E","0.378865","19.335 (1.113) Ic"
"OGLE-BLG-ECL-351653","--","18 11 15.55 -23 38 28.9","Sgr","E","2.520166","19.416 (1.460) Ic"
"OGLE-BLG-ECL-351657","--","18 11 15.57 -25 32 36.0","Sgr","E","0.557038","18.638 (1.244) Ic"
"OGLE-BLG-ECL-351691","--","18 11 15.86 -25 01 25.4","Sgr","E","0.260084","19.483 (1.345) Ic"
"OGLE-BLG-ECL-351724","--","18 11 16.16 -31 48 00.8","Sgr","E","2.390840","16.742 (1.432) Ic"
"OGLE-BLG-ECL-351727","--","18 11 16.17 -25 05 20.2","Sgr","E","0.372551","19.541 (1.205) Ic"
"OGLE-BLG-ECL-351754","--","18 11 16.38 -27 05 04.4","Sgr","E","0.329132","19.771 (1.161) Ic"
"OGLE-BLG-ECL-351762","--","18 11 16.41 -26 51 51.8","Sgr","E","0.369050","19.421 (1.271) Ic"
"OGLE-BLG-ECL-351782","--","18 11 16.57 -32 26 41.6","Sgr","E","1.963248","17.771 (1.824) Ic"
"OGLE-BLG-ECL-351798","--","18 11 16.67 -26 11 36.8","Sgr","EC","0.432422","19.168 (1.661) Ic"
"OGLE-BLG-ECL-351852","--","18 11 17.11 -24 12 47.9","Sgr","E","1.518945","19.259 (1.073) Ic"
"OGLE-BLG-ECL-351868","--","18 11 17.24 -26 42 46.8","Sgr","E","2.517136","17.507 (1.311) Ic"
"OGLE-BLG-ECL-351911","--","18 11 17.45 -29 08 55.9","Sgr","E","0.324383","19.047 (1.064) Ic"
"OGLE-BLG-ECL-351952","--","18 11 17.72 -26 23 05.7","Sgr","E","1.419193","17.844 (1.382) Ic"
"OGLE-BLG-ECL-351953","--","18 11 17.73 -30 33 39.3","Sgr","E","0.321091","18.828 (2.147) Ic"
"OGLE-BLG-ECL-351967","--","18 11 17.84 -25 09 33.7","Sgr","E","0.529064","19.524 (1.006) Ic"
"OGLE-BLG-ECL-351978","--","18 11 17.88 -27 54 46.6","Sgr","E","0.297087","18.903 (1.186) Ic"
"OGLE-BLG-ECL-351982","--","18 11 17.91 -32 29 17.2","Sgr","E","0.317537","19.311 (1.031) Ic"
"OGLE-BLG-ECL-351990","--","18 11 17.96 -27 05 32.1","Sgr","E","1.271291","17.337 (1.694) Ic"
"OGLE-BLG-ECL-352003","--","18 11 18.02 -25 50 04.6","Sgr","EW","0.391010","18.529 (1.282) Ic"
"OGLE-BLG-ECL-352004","--","18 11 18.04 -29 37 41.7","Sgr","E","1.009726","18.609 (1.265) Ic"
"OGLE-BLG-ECL-352046","--","18 11 18.31 -34 35 59.6","Sgr","E","1.372949","15.965 (1.108) Ic"
"OGLE-BLG-ECL-352054","--","18 11 18.36 -32 01 02.6","Sgr","E","1.491242","19.478 (1.117) Ic"
"OGLE-BLG-ECL-352065","--","18 11 18.43 -28 29 39.7","Sgr","E","0.309567","19.483 (1.275) Ic"
"OGLE-BLG-ECL-352073","--","18 11 18.49 -30 42 25.3","Sgr","E","1.568593","17.634 (1.978) Ic"
"OGLE-BLG-ECL-352119","--","18 11 18.86 -27 47 11.4","Sgr","E","1.785803","17.552 (1.937) Ic"
"OGLE-BLG-ECL-352134","--","18 11 18.94 -26 28 19.7","Sgr","E","0.650919","18.113 (1.338) Ic"
"OGLE-BLG-ECL-352158","--","18 11 19.15 -27 23 15.1","Sgr","E","1.626308","17.414 (1.183) Ic"
"OGLE-BLG-ECL-352170","--","18 11 19.22 -25 49 38.9","Sgr","EW","0.400308","18.944 (1.113) Ic"
"OGLE-BLG-ECL-352197","--","18 11 19.41 -31 12 17.0","Sgr","E","0.603740","18.694 (1.344) Ic"
"OGLE-BLG-ECL-352217","--","18 11 19.56 -25 50 22.8","Sgr","EW","0.387523","19.192 (1.354) Ic"
"OGLE-BLG-ECL-352274","--","18 11 20.04 -25 20 57.4","Sgr","E","2.559243","18.439 (1.419) Ic"
"OGLE-BLG-ECL-352322","--","18 11 20.35 -28 34 38.7","Sgr","E","2.235404","19.347 (1.205) Ic"
"OGLE-BLG-ECL-352335","--","18 11 20.41 -22 24 31.1","Sgr","E","1.585466","19.646 (1.665) Ic"
"OGLE-BLG-ECL-352337","--","18 11 20.42 -28 48 40.5","Sgr","E","2.339788","17.382 (1.128) Ic"
"OGLE-BLG-ECL-352347","--","18 11 20.52 -28 27 41.6","Sgr","E","1.318609","19.322 (1.001) Ic"
"OGLE-BLG-ECL-352411","--","18 11 21.08 -33 07 05.3","Sgr","E","1.486891","16.644 (1.531) Ic"
"OGLE-BLG-ECL-352416","--","18 11 21.12 -29 28 34.6","Sgr","E","1.153874","19.201 (1.411) Ic"
"OGLE-BLG-ECL-352425","--","18 11 21.16 -33 32 59.3","Sgr","E","0.249923","19.021 (1.296) Ic"
"OGLE-BLG-ECL-352440","--","18 11 21.32 -32 44 47.5","Sgr","E","8.585326","18.656 (1.636) Ic"
"OGLE-BLG-ECL-352507","--","18 11 21.82 -24 57 05.9","Sgr","E","0.498579","19.138 (1.377) Ic"
"OGLE-BLG-ECL-352509","--","18 11 21.84 -33 26 13.0","Sgr","E","0.347256","19.637 (1.275) Ic"
"OGLE-BLG-ECL-352568","--","18 11 22.17 -27 44 40.7","Sgr","E","0.322474","18.846 (1.015) Ic"
"OGLE-BLG-ECL-352570","--","18 11 22.19 -31 50 22.5","Sgr","E","0.919885","18.257 (1.144) Ic"
"OGLE-BLG-ECL-352575","--","18 11 22.20 -27 02 34.4","Sgr","E","1.444498","18.891 (2.080) Ic"
"OGLE-BLG-ECL-352590","--","18 11 22.38 -27 38 55.4","Sgr","E","1.902529","17.281 (1.357) Ic"
"OGLE-BLG-ECL-352608","--","18 11 22.47 -26 39 26.1","Sgr","E","2.727512","17.244 (1.018) Ic"
"OGLE-BLG-ECL-352618","--","18 11 22.51 -24 57 19.6","Sgr","E","1.806172","17.695 (1.252) Ic"
"OGLE-BLG-ECL-352621","--","18 11 22.53 -27 25 09.4","Sgr","E","0.385390","18.906 (1.087) Ic"
"OGLE-BLG-ECL-352639","--","18 11 22.68 -29 01 34.4","Sgr","E","0.335388","19.291 (1.218) Ic"
"OGLE-BLG-ECL-352646","--","18 11 22.71 -31 04 48.9","Sgr","E","0.850541","18.622 (1.633) Ic"
"OGLE-BLG-ECL-352655","--","18 11 22.79 -28 56 21.2","Sgr","E","2.846305","16.745 (1.269) Ic"
"OGLE-BLG-ECL-352665","--","18 11 22.84 -28 47 42.9","Sgr","E","1.537484","17.070 (1.598) Ic"
"OGLE-BLG-ECL-352669","--","18 11 22.86 -23 13 55.0","Sgr","E","0.603110","18.471 (1.032) Ic"
"OGLE-BLG-ECL-352670","--","18 11 22.87 -29 59 24.8","Sgr","E","1.426838","16.789 (1.154) Ic"
"OGLE-BLG-ECL-352688","--","18 11 23.00 -25 10 10.0","Sgr","E","2.734413","17.471 (1.307) Ic"
